代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),
600519.SH,贵州茅台,20010827,31.39,34.51,37.78,32.85,35.55,40631800,1410347179,4.16,13.2526,34.7104,56.8277,
600519.SH,贵州茅台,20010828,35.55,34.99,37,34.61,36.86,12964779,463463143,1.31,3.685,35.7479,18.1326,
600519.SH,贵州茅台,20010829,36.86,36.98,37,36.1,36.38,5325275,194689620,-0.48,-1.3022,36.5595,7.4479,
600519.SH,贵州茅台,20010830,36.38,36.28,37.51,36,37.1,4801306,177558558,0.72,1.9791,36.9813,6.7151,
600519.SH,贵州茅台,20010831,37.1,37.15,37.62,36.8,37.01,2323148,86231237,-0.09,-0.2426,37.1183,3.2492,
600519.SH,贵州茅台,20010903,37.01,37.2,37.57,36.85,36.99,2211209,82129438,-0.02,-0.054,37.1423,3.0926,
600519.SH,贵州茅台,20010904,36.99,37.01,38.08,36.88,37.46,3700677,139204380,0.47,1.2706,37.6159,5.1758,
600519.SH,贵州茅台,20010905,37.46,37.61,37.92,37.21,37.44,2606695,97796243,-0.02,-0.0534,37.5173,3.6457,
600519.SH,贵州茅台,20010906,37.44,37.35,37.47,36.51,36.7,2899703,107078403,-0.74,-1.9765,36.9274,4.0555,
600519.SH,贵州茅台,20010907,36.7,36.5,36.95,35.65,35.68,3155225,113868743,-1.02,-2.7793,36.0889,4.4129,
600519.SH,贵州茅台,20010910,35.68,35.4,36.85,35.01,36.7,1887889,68406471,1.02,2.8587,36.2344,2.6404,
600519.SH,贵州茅台,20010911,36.7,36.8,36.95,36.2,36.29,1139081,41579698,-0.41,-1.1172,36.5028,1.5931,
600519.SH,贵州茅台,20010912,36.29,35.33,36.2,35.3,35.98,2504519,89421380,-0.31,-0.8542,35.704,3.5028,
600519.SH,贵州茅台,20010913,35.98,36.01,36.3,35.7,35.89,1098668,39512775,-0.09,-0.2501,35.9643,1.5366,
600519.SH,贵州茅台,20010914,35.89,36.01,36.5,35.8,36.3,767283,27740691,0.41,1.1424,36.1544,1.0731,
600519.SH,贵州茅台,20010917,36.3,36.08,36.29,35.5,35.84,898397,32183249,-0.46,-1.2672,35.823,1.2565,
600519.SH,贵州茅台,20010918,35.84,35.88,36.55,35.85,36.25,1077326,39006062,0.41,1.144,36.2064,1.5067,
600519.SH,贵州茅台,20010919,36.25,36.3,36.92,36.06,36.92,865053,31597369,0.67,1.8483,36.5265,1.2099,
